,Cast Number,Scan,Station,Depth,Salinity,Temperature,Sigma Theta Density,O2 SB 43 mg/L,O2 % Saturation,Corrected Chlorophyll,Turbidity (SCUFA),Decent Rate
0,1,269935,SR01,0.655,4.6898,21.5251,1.4323,4.9143,57.233,6.3087,0.5542,-0.02
1,1,269936,SR01,0.66,4.6878,21.5201,1.432,4.9169,57.257,6.2628,0.5209,0.038
2,1,269937,SR01,0.673,4.6859,21.5178,1.4311,4.9199,57.288,6.0683,0.5047,0.091
3,1,269938,SR01,0.696,4.6889,21.5154,1.4338,4.9205,57.294,5.9406,0.5161,0.135
4,1,269939,SR01,0.722,4.6875,21.5162,1.4326,4.9251,57.348,5.8998,0.5164,0.171
5,1,269940,SR01,0.751,4.6827,21.5155,1.4292,4.9296,57.397,5.9288,0.5173,0.202
6,1,269941,SR01,0.793,4.8096,21.5172,1.5247,4.9306,57.453,5.9836,0.5151,0.226
7,1,269942,SR01,0.841,4.9745,21.5743,1.636,4.9306,57.572,5.9689,0.5158,0.239
8,1,269943,SR01,0.885,4.9646,21.6852,1.6029,4.9383,57.781,6.0908,0.513,0.24
9,1,269944,SR01,0.93,5.0056,21.7522,1.6183,4.9505,58.012,6.4277,0.5154,0.233
10,1,269945,SR01,0.974,5.5293,21.8214,1.9974,4.9441,58.191,6.5912,0.5162,0.217
11,1,269946,SR01,1.007,5.628,22.0205,2.025,4.9377,58.37,6.7126,0.5184,0.198
12,1,269947,SR01,1.033,5.7358,22.2408,2.0539,4.9315,58.577,6.7221,0.5191,0.181
13,1,269948,SR01,1.063,6.0391,22.3517,2.256,4.9173,58.634,6.7359,0.5219,0.167
14,1,269949,SR01,1.09,6.8387,22.3857,2.8501,4.8743,58.428,6.9494,0.515,0.16
15,1,269950,SR01,1.113,7.2931,22.3753,3.1949,4.8253,57.982,7.0251,0.5147,0.161
16,1,269951,SR01,1.14,8.3845,22.3519,4.0225,4.735,57.232,6.8139,0.5157,0.164
17,1,269952,SR01,1.167,10.2132,22.3545,5.3986,4.602,56.219,7.0154,0.5235,0.167
18,1,269953,SR01,1.198,11.4602,22.3885,6.3289,4.4627,54.948,8.2846,0.5601,0.169
19,1,269954,SR01,1.231,14.8311,22.4342,8.8551,4.249,53.394,10.5582,0.6352,0.171
20,1,269955,SR01,1.261,16.2787,22.4798,9.9335,4.0617,51.513,11.8454,0.7182,0.169
21,1,269956,SR01,1.29,15.9647,22.5074,9.69,3.8967,49.356,11.0339,0.7256,0.166
22,1,269957,SR01,1.316,16.401,22.5198,10.0153,3.7079,47.094,10.2663,0.71,0.163
23,1,269958,SR01,1.342,16.8041,22.5266,10.3172,3.5088,44.675,9.8822,0.6729,0.159
24,1,269959,SR01,1.369,18.3383,22.519,11.4749,3.2853,42.197,9.5778,0.6715,0.157
25,1,269960,SR01,1.396,19.8392,22.4878,12.6142,3.0779,39.856,9.386,0.6826,0.156
26,1,269961,SR01,1.424,19.9935,22.4409,12.7428,2.9134,37.728,9.0977,0.6332,0.157
27,1,269962,SR01,1.45,20.5297,22.407,13.156,2.7659,35.906,9.0364,0.6165,0.157
28,1,269963,SR01,1.476,20.9177,22.3739,13.4574,2.6324,34.23,8.7433,0.6192,0.159
29,1,269964,SR01,1.503,20.6283,22.3429,13.2473,2.5089,32.55,7.9714,0.6233,0.162
30,1,269965,SR01,1.532,21.0595,22.3275,13.5765,2.3783,30.925,7.1719,0.6277,0.164
31,1,269966,SR01,1.558,20.9951,22.3107,13.5324,2.2642,29.421,6.6166,0.63,0.162
32,1,269967,SR01,1.589,21.19,22.2984,13.6827,2.1665,28.177,5.9953,0.6204,0.157
33,1,269968,SR01,1.621,21.89,22.2856,14.2142,2.0815,27.175,5.3064,0.6201,0.153
34,1,269969,SR01,1.645,22.0567,22.2611,14.3465,2.0141,26.31,5.088,0.6271,0.151
